title_1: found=True, same=False
text_2_li: found=True, same=False
text_3_li: found=True, same=False
text_4_li: found=True, same=False
text_5_li: found=True, same=False
text_6_li: found=True, same=False
text_7_li: found=True, same=False
text_8_li: found=True, same=False
text_9_a: found=True, same=False
text_10_a: found=True, same=False
text_11_a: found=True, same=False
attr_12_img_alt: found=True, same=False
text_13_p: found=True, same=False
text_14_p: found=True, same=False
text_15_a: found=True, same=False
text_16_a: found=True, same=False
text_17_a: found=True, same=False
attr_18_img_alt: found=True, same=False
text_19_h2: found=False, same=False
text_20_p: found=True, same=False
text_21_h2: found=True, same=False
attr_22_div_alt: found=True, same=False
text_23_p: found=True, same=False
attr_24_div_alt: found=True, same=False
text_25_p: found=True, same=False
attr_26_div_alt: found=True, same=False
text_27_p: found=True, same=False
attr_28_div_alt: found=True, same=False
text_29_p: found=True, same=False
attr_30_div_alt: found=True, same=False
text_31_p: found=True, same=False
attr_32_div_alt: found=True, same=False
text_33_p: found=True, same=False
text_34_p: found=True, same=False
text_35_h2: found=True, same=False
text_36_button: found=True, same=False
text_37_button: found=True, same=False
attr_38_div_alt: found=True, same=False
text_39_span: found=True, same=False
text_40_span: found=True, same=False
text_41_h3: found=True, same=False
text_42_div: found=True, same=False
text_43_li: found=True, same=False
text_44_li: found=True, same=False
text_45_li: found=True, same=False
text_46_li: found=True, same=False
text_47_li: found=True, same=False
text_48_li: found=True, same=False
text_49_li: found=True, same=False
text_50_li: found=True, same=False
text_51_li: found=True, same=False
text_52_li: found=True, same=False
text_53_li: found=True, same=False
text_54_li: found=True, same=False
text_55_li: found=True, same=False
text_56_li: found=True, same=False
text_57_li: found=True, same=False
text_58_li: found=True, same=False
attr_59_div_alt: found=True, same=False
text_60_span: found=True, same=False
text_61_h3: found=True, same=False
text_62_li: found=True, same=False
text_63_li: found=True, same=False
text_64_li: found=True, same=False
text_65_li: found=True, same=False
text_66_li: found=True, same=False
text_67_li: found=True, same=False
text_68_li: found=True, same=False
text_69_li: found=True, same=False
text_70_div: found=True, same=False
text_71_li: found=True, same=False
text_72_li: found=True, same=False
text_73_p: found=False, same=False
text_74_p: found=False, same=False
text_75_text: found=True, same=False
text_76_text: found=True, same=False
text_77_span: found=True, same=False
text_78_div: found=True, same=False
text_79_span: found=True, same=False
text_80_div: found=True, same=False
text_81_span: found=True, same=False
text_82_span: found=True, same=False
text_83_span: found=True, same=False
text_84_li: found=True, same=False
text_85_li: found=True, same=False
text_86_li: found=False, same=False
text_87_li: found=False, same=False
text_88_li: found=False, same=False
text_89_li: found=False, same=False
text_90_li: found=False, same=False
text_91_li: found=False, same=False
